,1. open,2. high,3. low,4. close,5. volume
2022-04-06 13:35:00,129.0600,129.0950,128.9900,129.0701,12880
2022-04-06 13:30:00,129.0700,129.0900,128.9900,129.0700,15700
2022-04-06 13:25:00,128.7700,129.0450,128.7200,129.0450,27204
2022-04-06 13:20:00,128.9100,128.9100,128.7650,128.7800,13686
2022-04-06 13:15:00,128.8550,128.9200,128.8400,128.9200,23610
2022-04-06 13:10:00,128.8200,128.8900,128.8100,128.8500,19892
2022-04-06 13:05:00,128.9300,128.9300,128.8000,128.8100,13253
2022-04-06 13:00:00,128.8000,128.9400,128.7900,128.9300,17735
2022-04-06 12:55:00,128.8100,128.8100,128.6850,128.8000,14058
2022-04-06 12:50:00,128.8200,128.8800,128.7650,128.8100,21583
2022-04-06 12:45:00,128.6900,128.8300,128.6850,128.8300,16440
2022-04-06 12:40:00,128.6650,128.7300,128.6400,128.7000,15366
2022-04-06 12:35:00,128.4550,128.6700,128.4500,128.6500,25491
2022-04-06 12:30:00,128.4900,128.5650,128.4395,128.4450,22792
2022-04-06 12:25:00,128.5843,128.6200,128.4500,128.4750,30796
2022-04-06 12:20:00,128.6600,128.6700,128.5250,128.6000,23202
2022-04-06 12:15:00,128.8650,128.9080,128.6900,128.6900,21107
2022-04-06 12:10:00,128.8200,128.9150,128.8000,128.8700,20681
2022-04-06 12:05:00,128.8300,128.9200,128.7500,128.8100,28044
2022-04-06 12:00:00,128.7600,128.9185,128.7303,128.8200,20643
2022-04-06 11:55:00,128.8200,128.9900,128.7600,128.7700,25257
2022-04-06 11:50:00,128.5300,128.8648,128.5300,128.8200,22734
2022-04-06 11:45:00,128.7550,128.7550,128.5300,128.5400,27588
2022-04-06 11:40:00,128.7703,128.8000,128.7100,128.7500,24472
2022-04-06 11:35:00,128.7200,128.8000,128.6600,128.7600,36960
2022-04-06 11:30:00,128.7950,128.8400,128.6950,128.7300,18158
2022-04-06 11:25:00,128.7100,128.9300,128.7000,128.7900,27792
2022-04-06 11:20:00,128.9200,128.9450,128.7200,128.7200,22640
2022-04-06 11:15:00,129.3050,129.3050,128.8700,128.9000,31998
2022-04-06 11:10:00,129.2200,129.3200,129.1200,129.3200,19787
2022-04-06 11:05:00,128.9600,129.2200,128.9500,129.1950,19459
2022-04-06 11:00:00,129.0400,129.1300,128.9600,128.9600,37869
2022-04-06 10:55:00,129.4300,129.4300,129.0100,129.0122,28643
2022-04-06 10:50:00,129.1000,129.4900,129.0976,129.4500,43633
2022-04-06 10:45:00,129.0850,129.2500,129.0388,129.1000,36799
2022-04-06 10:40:00,128.7400,129.0900,128.7400,129.0800,35445
2022-04-06 10:35:00,128.5700,128.7200,128.5100,128.7150,29060
2022-04-06 10:30:00,128.6650,128.7200,128.5950,128.6050,33955
2022-04-06 10:25:00,128.6450,128.7000,128.5400,128.6700,37303
2022-04-06 10:20:00,128.6650,128.7700,128.5900,128.6200,31703
2022-04-06 10:15:00,128.5900,128.7150,128.5600,128.6400,44649
2022-04-06 10:10:00,128.6900,128.7600,128.5700,128.6300,56795
2022-04-06 10:05:00,128.7500,128.8500,128.6100,128.7200,57703
2022-04-06 10:00:00,128.6800,128.7500,128.5437,128.6800,47022
2022-04-06 09:55:00,128.4400,128.7400,127.7800,128.6800,312404
2022-04-06 09:50:00,128.0900,128.5500,128.0200,128.4400,64948
2022-04-06 09:45:00,127.4350,128.0800,127.2500,128.0800,62169
2022-04-06 09:40:00,128.0150,128.0594,127.4000,127.4400,98821
2022-04-06 09:35:00,127.7800,128.2667,127.6700,128.0200,191155
2022-04-06 09:30:00,128.3500,128.3800,128.3500,128.3500,7139
2022-04-06 09:25:00,127.8300,128.3500,127.8300,128.3500,13737
2022-04-06 09:20:00,127.3000,127.3500,127.1600,127.3500,4222
2022-04-06 09:15:00,127.6000,127.6000,127.3000,127.3000,8494
2022-04-06 09:10:00,127.7200,127.7200,127.7200,127.7200,274
2022-04-06 09:00:00,127.3000,127.5000,127.1201,127.1201,4581
2022-04-06 08:55:00,127.3000,127.3100,127.3000,127.3000,8990
2022-04-06 08:45:00,127.5000,127.5000,127.1000,127.1000,2304
2022-04-06 08:40:00,127.6400,127.6400,127.4700,127.5000,11213
2022-04-06 08:30:00,128.0000,128.0000,128.0000,128.0000,164
