Rank,Major,Early Career Pay,Mid-Career Pay
313,Electronic & Computer Technology,63800,92500
313,Marketing Communication,45700,92500
316,Construction Technology,59100,92400
317,Architecture,51000,92300
318,Applied Statistics,65900,92200
319,Biological Sciences,49300,92100
319,Food Science,52500,92100
319,Urban & Regional Planning,51800,92100
322,Marketing Management,51300,92000
323,Computer & Network Administration,56800,91900
324,Applied Computer Science,66100,91800
325,Sales,61500,91600
326,Environmental Design,47700,91400
326,Hotel Management,49100,91400
328,Advertising Design,52700,91300
328,Digital Arts,45600,91300
328,Financial Management,54300,91300
331,Electronic Systems Technology (EST),81000,91200
332,Italian Language,51400,91100
333,German Studies,50000,91000
334,Quality Management,57400,90800
335,Microbiology,48400,90300
335,Entrepreneurship,54800,90300
337,Interactive Media,52700,90200
337,Global Business Management,55900,90200
337,Network Systems Administration,57900,90200
337,Police Science,55400,90200
341,Hydrology,48700,90100
342,Business Data Analysis,64700,90000
342,Database Management,65900,90000
342,Spanish Literature,51100,90000
345,Business Technology,52800,89900
346,Business Management & Marketing,48900,89800
347,Technical Management,64400,89700
348,Human Biology,51100,89600
349,Meteorology,46200,89500
350,Computer Graphics Technology (CGT),49000,89200
350,Urban Planning,50500,89200
352,Aviation Technology,58100,89100
352,Environmental Health,50000,89100
354,Agricultural Science,48900,88900
354,Agronomy,50200,88900
354,International Studies,50000,88900
357,Design,52800,88800
358,Applied Science,46400,88700
358,Architectural Engineering Technology,52200,88700
358,German Language,50700,88700
361,Technology,56200,88600
362,Advertising & Promotion,46100,88500
363,Pre-law,46800,88400
364,Digital Media,47300,88200
365,Biological Anthropology,46200,88100
365,Personal Financial Planning,53800,88100
367,Professional Pilot Education,63700,88000
367,Textile Technology,54000,88000
367,Web & Digital Media Development,52300,88000
370,Entrepreneurial Studies,48700,87900
371,Fashion Design,47500,87700
372,Retailing,51300,87600
373,Business Communication,50900,87300
373,Environmental Science,49100,87300
375,Product Design Engineering,65500,87200
376,English Literature,47700,87000
